scenario_id,event_class,config,model,correct_diag,construction_correct,has_switching,identified_element,true_targets,turns,n_tool_calls,tools_used,executed,raw
IEEE14_SCN_001595,E5,closed_loop,gemini-3.5-flash-lite,False,True,False,none,,4,2,"{""grid_query"": 1, ""run_power_flow"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 0.95, ""reason"": ""Power flow and grid query results both confirm a maximum voltage of 1.06 p.u., exceeding the 1.05 p.u. threshold, thereby satisfying the criteria for E7 Overvoltage.""}"
IEEE14_SCN_002846,E9,closed_loop,gemini-3.5-flash-lite,False,False,True,none,line_3_4,4,2,"{""grid_query"": 1, ""run_power_flow"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 0.95, ""reason"": ""Post-event telemetry and power flow results confirm maximum voltage reaches 1.06 pu, which strictly exceeds the 1.05 pu threshold, qualifying the event as E7 Overvoltage.""}"
IEEE14_SCN_002471,E9,closed_loop,gemini-3.5-flash-lite,False,False,True,none,line_1_5,4,2,"{""grid_query"": 1, ""run_power_flow"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 0.98, ""reason"": ""The power flow results and voltage query confirm an overvoltage condition with v_max_pu at 1.06 (> 1.05), making it an E7 Overvoltage event with no switching or load changes.""}"
IEEE14_SCN_002826,E9,closed_loop,gemini-3.5-flash-lite,False,True,True,line_6_11,line_6_11,3,2,"{""grid_query"": 2}",2,"{""action"": ""final_answer"", ""event_class"": ""E3"", ""identified_element"": ""line_6_11"", ""confidence"": 1.0, ""reason"": ""Branch line_6_11 is OUT_OF_SERVICE in the telemetry, corresponding to a transmission-line outage.""}"
IEEE14_SCN_002332,E7,closed_loop,gemini-3.5-flash-lite,True,True,False,none,,4,3,"{""grid_query"": 2, ""run_power_flow"": 1}",3,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 0.95, ""reason"": ""Voltage magnitudes exceed the 1.05 pu upper limit (v_max_pu reaches 1.06 to 1.08 pu) without any branch or generator outages.""}"
IEEE14_SCN_000407,E1,closed_loop,gemini-3.5-flash-lite,False,True,False,none,,4,3,"{""run_power_flow"": 1, ""grid_query"": 2}",3,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 0.95, ""reason"": ""Power flow converged with a maximum voltage of 1.06 pu, indicating an overvoltage violation (V > 1.05) with no network switching or demand change.""}"
IEEE14_SCN_002292,E7,closed_loop,gemini-3.5-flash-lite,True,True,False,none,,3,2,"{""grid_query"": 2}",2,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 1.0, ""reason"": ""Bus 1 experiences an overvoltage of 1.06 pu (V>1.05) with no network switching or demand change.""}"
IEEE14_SCN_001211,E4,closed_loop,gemini-3.5-flash-lite,False,False,True,none,gen_g8,4,2,"{""grid_query"": 1, ""run_power_flow"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 0.95, ""reason"": ""Power flow and grid query results confirm a maximum voltage of 1.06 pu, triggering the E7 overvoltage classification since v > 1.05 pu.""}"
IEEE14_SCN_000735,E2,closed_loop,gemini-3.5-flash-lite,False,True,False,none,,3,2,"{""run_power_flow"": 1, ""grid_query"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 0.95, ""reason"": ""Bus 1 voltage exceeds 1.05 pu (v_max_pu = 1.06), indicating an overvoltage condition (E7).""}"
IEEE14_SCN_002703,E9,closed_loop,gemini-3.5-flash-lite,False,True,True,line_13_14,line_13_14,3,2,"{""grid_query"": 2}",2,"{""action"": ""final_answer"", ""event_class"": ""E3"", ""identified_element"": ""line_13_14"", ""confidence"": 1.0, ""reason"": ""Transmission line line_13_14 is out of service while all generators remain online and no demand change was introduced.""}"
IEEE14_SCN_002982,E9,closed_loop,gemini-3.5-flash-lite,False,False,True,none,line_12_13,4,2,"{""grid_query"": 1, ""run_power_flow"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 0.95, ""reason"": ""Power flow results and voltage queries confirm a maximum voltage of 1.06 pu, surpassing the 1.05 pu overvoltage threshold with no line or generator outages.""}"
IEEE14_SCN_000841,E2,closed_loop,gemini-3.5-flash-lite,False,True,False,none,,3,2,"{""run_power_flow"": 1, ""grid_query"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 0.95, ""reason"": ""Power flow converged with a maximum voltage of 1.06 pu on bus 1, exceeding the 1.05 pu overvoltage threshold.""}"
IEEE14_SCN_000073,E0,closed_loop,gemini-3.5-flash-lite,False,True,False,none,,3,2,"{""run_power_flow"": 1, ""grid_query"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 1.0, ""reason"": ""Bus voltages show overvoltage (V > 1.05 at bus_1 with 1.06 pu), qualifying as E7 Overvoltage.""}"
IEEE14_SCN_001122,E3,closed_loop,gemini-3.5-flash-lite,True,True,True,line_9_10,line_9_10,3,2,"{""grid_query"": 2}",2,"{""action"": ""final_answer"", ""event_class"": ""E3"", ""identified_element"": ""line_9_10"", ""confidence"": 1.0, ""reason"": ""Line line_9_10 is OUT_OF_SERVICE in the telemetry while all other components remain in service, indicating a transmission-line outage event.""}"
IEEE14_SCN_000730,E2,closed_loop,gemini-3.5-flash-lite,False,True,False,none,,3,2,"{""run_power_flow"": 1, ""grid_query"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 0.95, ""reason"": ""Power flow converged with no topology changes or demand alterations, but exhibits an overvoltage violation with maximum voltage at bus 1 reaching 1.06 pu (>1.05 pu).""}"
IEEE14_SCN_002404,E9,closed_loop,gemini-3.5-flash-lite,False,True,True,line_1_2,line_1_2,4,2,"{""grid_query"": 1, ""run_power_flow"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E3"", ""identified_element"": ""line_1_2"", ""confidence"": 1.0, ""reason"": ""Branch line_1_2 is explicitly OUT_OF_SERVICE in the element telemetry while all generators remain in-service.""}"
IEEE14_SCN_001817,E3,closed_loop,gemini-3.5-flash-lite,False,False,True,none,line_6_13,4,2,"{""grid_query"": 1, ""run_power_flow"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 0.95, ""reason"": ""The post-event power flow results show a voltage maximum of 1.06 pu, which exceeds the 1.05 pu limit, qualifying it as an E7 Overvoltage event.""}"
IEEE14_SCN_000556,E1,closed_loop,gemini-3.5-flash-lite,False,True,False,none,,4,3,"{""run_power_flow"": 1, ""grid_query"": 2}",3,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 1.0, ""reason"": ""Bus voltages show overvoltage with bus_1 at 1.06 pu (> 1.05 pu), satisfying the criteria for E7 Overvoltage.""}"
IEEE14_SCN_001253,E4,closed_loop,gemini-3.5-flash-lite,True,True,True,gen_g8,gen_g8,3,2,"{""grid_query"": 2}",2,"{""action"": ""final_answer"", ""event_class"": ""E4"", ""identified_element"": ""gen_G8"", ""confidence"": 1.0, ""reason"": ""Generator gen_G8 is OFFLINE in the telemetry, which corresponds to a Generator Outage (E4).""}"
IEEE14_SCN_001784,E5,closed_loop,gemini-3.5-flash-lite,False,True,False,none,,3,2,"{""grid_query"": 2}",2,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 0.95, ""reason"": ""Bus 1 voltage exceeds 1.05 pu (1.06 pu), indicating an overvoltage condition.""}"
IEEE14_SCN_002153,E7,closed_loop,gemini-3.5-flash-lite,True,True,False,none,,3,2,"{""run_power_flow"": 1, ""grid_query"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 1.0, ""reason"": ""Post-event telemetry and power flow show bus voltages exceeding 1.05 pu (specifically bus 1 at 1.08 pu), satisfying the criteria for E7 Overvoltage.""}"
IEEE14_SCN_002430,E9,closed_loop,gemini-3.5-flash-lite,False,True,True,line_1_5,line_1_5,3,2,"{""grid_query"": 2}",2,"{""action"": ""final_answer"", ""event_class"": ""E3"", ""identified_element"": ""line_1_5"", ""confidence"": 1.0, ""reason"": ""Branch line_1_5 is OUT_OF_SERVICE in the telemetry, which classifies this as a transmission-line outage (E3).""}"
IEEE14_SCN_002536,E9,closed_loop,gemini-3.5-flash-lite,False,True,True,line_1_2,line_1_2,4,2,"{""grid_query"": 1, ""run_power_flow"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E3"", ""identified_element"": ""line_1_2"", ""confidence"": 1.0, ""reason"": ""Branch line_1_2 is explicitly OUT_OF_SERVICE in the telemetry while all generators remain in service and no demand changes occurred.""}"
IEEE14_SCN_001757,E5,closed_loop,gemini-3.5-flash-lite,False,True,False,none,,4,2,"{""grid_query"": 1, ""run_power_flow"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 0.95, ""reason"": ""Power flow and grid queries confirm that the maximum voltage reaches 1.06 pu, which exceeds 1.05 pu, indicating an E7 Overvoltage event.""}"
IEEE14_SCN_002496,E9,closed_loop,gemini-3.5-flash-lite,False,True,True,line_1_2,line_1_2,4,2,"{""grid_query"": 1, ""run_power_flow"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E3"", ""identified_element"": ""line_1_2"", ""confidence"": 1.0, ""reason"": ""Branch line_1_2 is explicitly shown as OUT_OF_SERVICE in the element telemetry while all generators remain in-service.""}"
IEEE14_SCN_000738,E2,closed_loop,gemini-3.5-flash-lite,False,True,False,none,,3,2,"{""run_power_flow"": 1, ""grid_query"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 1.0, ""reason"": ""Post-event power flow shows an overvoltage condition with bus 1 voltage at 1.06 pu (exceeding the 1.05 threshold).""}"
IEEE14_SCN_002888,E9,closed_loop,gemini-3.5-flash-lite,False,True,True,line_2_4,line_2_4,4,2,"{""grid_query"": 1, ""run_power_flow"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E3"", ""identified_element"": ""line_2_4"", ""confidence"": 1.0, ""reason"": ""Telemetry explicitly shows branch line_2_4 as OUT_OF_SERVICE with no demand change, matching a transmission-line outage.""}"
IEEE14_SCN_000995,E3,closed_loop,gemini-3.5-flash-lite,True,True,True,line_2_3,line_2_3,4,2,"{""grid_query"": 1, ""run_power_flow"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E3"", ""identified_element"": ""line_2_3"", ""confidence"": 1.0, ""reason"": ""Branch line_2_3 is marked as OUT_OF_SERVICE in the telemetry, which classifies the event as a transmission-line outage.""}"
IEEE14_SCN_000521,E1,closed_loop,gemini-3.5-flash-lite,False,True,False,none,,3,2,"{""grid_query"": 2}",2,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 0.95, ""reason"": ""Bus voltages show an overvoltage condition with v_max_pu equal to 1.06 (greater than 1.05) on bus 1.""}"
IEEE14_SCN_002877,E9,closed_loop,gemini-3.5-flash-lite,False,True,True,line_6_13,line_6_13,3,2,"{""grid_query"": 2}",2,"{""action"": ""final_answer"", ""event_class"": ""E3"", ""identified_element"": ""line_6_13"", ""confidence"": 1.0, ""reason"": ""Telemetry shows transmission line line_6_13 is OUT_OF_SERVICE without any demand or generation changes.""}"
IEEE14_SCN_001956,E3,closed_loop,gemini-3.5-flash-lite,True,True,True,line_6_13,line_6_13,4,2,"{""grid_query"": 1, ""run_power_flow"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E3"", ""identified_element"": ""line_6_13"", ""confidence"": 0.99, ""reason"": ""Branch line_6_13 is out of service in the telemetry, confirming a transmission-line outage without demand changes or overloads.""}"
IEEE14_SCN_001944,E3,closed_loop,gemini-3.5-flash-lite,False,False,True,none,line_6_13,4,2,"{""grid_query"": 2}",2,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 0.98, ""reason"": ""Bus voltages show bus_1 at 1.06 pu, which exceeds 1.05 pu, correctly classifying the scenario as an Overvoltage (E7).""}"
IEEE14_SCN_000529,E1,closed_loop,gemini-3.5-flash-lite,False,True,False,none,,3,2,"{""grid_query"": 2}",2,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 0.95, ""reason"": ""Bus voltages show an overvoltage condition with bus_1 at 1.06 pu (> 1.05 pu), classifying the event as E7 Overvoltage.""}"
IEEE14_SCN_002055,E3,closed_loop,gemini-3.5-flash-lite,True,True,True,line_6_13,line_6_13,4,2,"{""grid_query"": 1, ""run_power_flow"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E3"", ""identified_element"": ""line_6_13"", ""confidence"": 1.0, ""reason"": ""Branch line_6_13 is explicitly listed as OUT_OF_SERVICE in the telemetry and power flow confirms the system state following this transmission line outage.""}"
IEEE14_SCN_002533,E9,closed_loop,gemini-3.5-flash-lite,False,True,True,line_1_2,line_1_2,4,2,"{""grid_query"": 1, ""run_power_flow"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E3"", ""identified_element"": ""line_1_2"", ""confidence"": 1.0, ""reason"": ""Branch line_1_2 is out_of_service in the telemetry, corresponding to a transmission-line outage (E3).""}"
IEEE14_SCN_001395,E4,closed_loop,gemini-3.5-flash-lite,True,True,True,gen_g8,gen_g8,4,2,"{""run_power_flow"": 1, ""grid_query"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E4"", ""identified_element"": ""gen_G8"", ""confidence"": 1.0, ""reason"": ""Generator gen_G8 is OFFLINE in the network telemetry, corresponding to a generator outage event.""}"
IEEE14_SCN_002129,E7,closed_loop,gemini-3.5-flash-lite,True,True,False,none,,3,2,"{""grid_query"": 2}",2,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 1.0, ""reason"": ""Bus 1 has an overvoltage of 1.06 pu (V>1.05), classifying the event as E7 Overvoltage.""}"
